region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,mortality_rate
China,80849,25,3199,10,66931,10719,3226,56.2,3.96
Italy,24747,3590,1809,368,2335,20603,1672,409.3,7.31
Iran,13938,1209,724,113,4590,8624,0,165.9,5.19
S. Korea,8162,76,75,3,834,7253,59,159.2,0.92
Spain,7798,1407,292,96,517,6989,272,166.8,3.74
Germany,5813,1214,11,2,46,5756,2,69.4,0.19
France,4499,30,91,0,12,4396,300,68.9,2.02
USA,3329,386,63,6,59,3207,10,10.1,1.89
Switzerland,2217,842,14,1,4,2199,0,256.2,0.63
UK,1372,232,35,14,20,1317,20,20.2,2.55
Norway,1231,122,3,0,1,1227,27,227.1,0.24
Netherlands,1135,176,20,8,2,1113,45,66.2,1.76
Sweden,1032,71,3,1,1,1028,2,102.2,0.29
Belgium,886,197,4,0,1,881,33,76.4,0.45
Denmark,864,28,2,1,1,861,2,149.2,0.23
Austria,860,205,1,0,6,853,1,95.5,0.12
Japan,839,35,24,2,144,671,36,6.6,2.86
Diamond Princess,696,0,7,0,456,233,15,0.0,1.01
Malaysia,428,190,0,0,42,386,9,13.2,0.0
Qatar,401,64,0,0,4,397,0,139.2,0.0
Greece,331,103,4,1,8,319,5,31.8,1.21
Canada,317,65,1,0,11,305,1,8.4,0.32
Australia,300,52,5,2,27,268,1,11.8,1.67
Czechia,253,64,0,0,0,253,2,23.6,0.0
Portugal,245,76,0,0,2,243,9,24.0,0.0
Finland,244,19,0,0,10,234,0,44.0,0.0
Singapore,226,14,0,0,105,121,11,38.6,0.0
Slovenia,219,38,1,0,0,218,3,105.3,0.46
Bahrain,214,2,0,0,60,154,2,125.8,0.0
Israel,213,20,0,0,4,209,2,24.6,0.0
Estonia,171,56,0,0,1,170,0,128.9,0.0
Iceland,171,10,0,0,0,171,1,0.0,0.0
Ireland,169,40,2,0,1,166,6,34.2,1.18
Hong Kong,149,7,4,0,81,64,4,19.9,2.68
Philippines,140,29,11,3,2,127,1,1.3,7.86
Romania,139,16,0,0,9,130,1,7.2,0.0
Poland,123,19,3,0,13,107,3,3.2,2.44
Brazil,121,0,0,0,1,120,2,0.6,0.0
Indonesia,117,21,5,0,8,104,0,0.4,4.27
Iraq,116,6,10,0,26,80,0,2.9,8.62
Thailand,114,32,1,0,35,78,1,1.6,0.88
Kuwait,112,8,0,0,9,103,4,26.2,0.0
India,111,11,2,0,13,96,0,0.1,1.8
Egypt,110,0,2,0,27,81,0,1.1,1.82
Saudi Arabia,103,0,0,0,2,101,0,3.0,0.0
San Marino,101,0,5,0,4,92,3,0.0,4.95
Lebanon,99,6,3,0,1,95,3,14.5,3.03
UAE,98,13,0,0,20,78,2,9.9,0.0
Chile,75,14,0,0,0,75,0,3.9,0.0
Russia,63,4,0,0,8,55,0,0.4,0.0
Slovakia,61,17,0,0,0,61,0,11.2,0.0
South Africa,61,23,0,0,0,61,0,1.0,0.0
Luxembourg,59,8,1,0,0,58,0,0.0,1.69
Taiwan,59,6,1,0,20,38,0,2.5,1.69
Vietnam,56,3,0,0,16,40,0,0.6,0.0
Pakistan,53,20,0,0,2,51,0,0.2,0.0
Bulgaria,51,10,2,0,0,49,0,7.3,3.92
Brunei,50,10,0,0,0,50,0,0.0,0.0
Croatia,49,10,0,0,2,47,0,11.9,0.0
Algeria,48,9,4,1,10,34,0,1.1,8.33
Serbia,48,2,0,0,1,47,1,5.5,0.0
Argentina,45,0,2,0,0,43,1,1.0,4.44
Panama,43,0,1,0,0,42,0,10.0,2.33
Peru,43,0,0,0,0,43,0,1.3,0.0
Albania,42,4,1,0,0,41,2,14.6,2.38
Mexico,41,15,0,0,4,37,1,0.3,0.0
Palestine,38,0,0,0,0,38,0,7.4,0.0
Colombia,34,10,0,0,0,34,0,0.7,0.0
Georgia,33,3,0,0,1,32,1,8.3,0.0
Cyprus,33,7,0,0,0,33,1,27.3,0.0
Hungary,32,2,1,1,1,30,0,3.3,3.12
Latvia,30,4,0,0,1,29,0,15.9,0.0
Ecuador,28,0,2,0,0,26,1,1.6,7.14
Morocco,28,10,1,0,1,26,1,0.8,3.57
Belarus,27,0,0,0,3,24,0,2.9,0.0
Costa Rica,27,0,0,0,0,27,1,5.3,0.0
Armenia,26,6,0,0,0,26,0,8.8,0.0
