region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,total_deaths_per_million,mortality_rate
USA,180789,17001,3580,439,6241,170968,3981,546.0,11.0,1.98
Italy,105792,4053,12428,837,15729,77635,4023,1750.0,206.0,11.75
Spain,94417,6461,8269,553,19259,66889,5607,2019.0,177.0,8.76
Germany,68180,1295,682,37,15824,51674,1979,814.0,8.0,1.0
France,52128,7578,3523,499,9444,39161,5565,799.0,54.0,6.76
Iran,44605,3110,2898,141,14656,27051,3703,531.0,35.0,6.5
UK,25150,3009,1789,381,135,23226,163,370.0,26.0,7.11
Switzerland,16186,264,395,36,1823,13968,301,1870.0,46.0,2.44
Turkey,13531,2704,214,46,243,13074,622,160.0,3.0,1.58
Belgium,12775,876,705,192,1696,10374,1021,1102.0,61.0,5.52
Netherlands,12595,845,1039,175,250,11306,1053,735.0,61.0,8.25
Austria,10122,504,128,20,1095,8899,198,1124.0,14.0,1.26
S_Korea,9786,125,162,4,5408,4216,55,191.0,3.0,1.66
Canada,8467,1019,95,6,1162,7210,120,224.0,3.0,1.12
Portugal,7443,1035,160,20,43,7240,188,730.0,16.0,2.15
Israel,5358,663,20,4,224,5114,117,619.0,2.0,0.37
Brazil,4715,85,168,5,127,4420,296,22.0,0.8,3.56
Norway,4630,185,39,7,13,4578,97,854.0,7.0,0.84
Australia,4561,101,19,0,337,4205,28,179.0,0.7,0.42
Sweden,4435,407,180,34,16,4239,358,439.0,18.0,4.06
Ireland,3325,415,71,17,5,3249,103,673.0,14.0,2.14
Czechia,3257,256,31,8,45,3181,64,304.0,3.0,0.95
Denmark,2860,283,90,13,1,2769,145,494.0,16.0,3.15
Malaysia,2766,140,43,6,537,2186,94,85.0,1.0,1.55
Chile,2738,289,12,4,156,2570,14,143.0,0.6,0.44
Russia,2337,501,17,8,121,2199,8,16.0,0.1,0.73
Poland,2311,256,33,2,7,2271,50,61.0,0.9,1.43
Romania,2245,136,80,15,220,1945,62,117.0,4.0,3.56
Ecuador,2240,274,75,13,54,2111,100,127.0,4.0,3.35
Luxembourg,2178,190,23,1,80,2075,31,3479.0,37.0,1.06
Philippines,2084,538,88,10,49,1947,1,19.0,0.8,4.22
Japan,1953,0,56,0,424,1473,56,15.0,0.4,2.87
Pakistan,1938,221,26,5,76,1836,12,9.0,0.1,1.34
Thailand,1651,127,10,1,342,1299,23,24.0,0.1,0.61
Saudi_Arabia,1563,110,10,2,165,1388,31,45.0,0.3,0.64
Indonesia,1528,114,136,14,81,1311,0,6.0,0.5,8.9
Finland,1418,66,17,4,10,1391,56,256.0,3.0,1.2
India,1397,146,35,3,123,1239,0,1.0,0.03,2.51
South_Africa,1353,27,3,0,31,1319,7,23.0,0.05,0.22
Greece,1314,102,49,3,52,1213,72,126.0,5.0,3.73
Iceland,1135,49,2,0,198,935,11,3326.0,6.0,0.18
Dominican_Republic,1109,208,51,9,5,1053,0,102.0,5.0,4.6
Mexico,1094,101,28,8,35,1031,1,8.0,0.2,2.56
Panama,1075,0,27,0,9,1039,43,249.0,6.0,2.51
Peru,1065,115,24,0,394,647,49,32.0,0.7,2.25
Argentina,966,146,26,3,240,700,0,21.0,0.6,2.69
Singapore,926,47,3,0,240,683,22,158.0,0.5,0.32
Serbia,900,115,23,7,42,835,62,103.0,3.0,2.56
Croatia,867,77,6,0,67,794,32,211.0,1.0,0.69
Slovenia,802,46,15,4,10,777,24,386.0,7.0,1.87
Colombia,798,0,14,0,15,769,29,16.0,0.3,1.75
Qatar,781,88,2,1,62,717,6,271.0,0.7,0.26
Estonia,745,30,4,1,26,715,13,562.0,3.0,0.54
Algeria,716,132,44,9,46,626,0,16.0,1.0,6.15
Hong_Kong,714,31,4,0,128,582,5,95.0,0.5,0.56
Diamond_Princess,712,0,10,0,603,99,15,0.0,0.0,1.4
Egypt,710,54,46,5,157,507,0,7.0,0.4,6.48
Iraq,694,64,50,4,170,474,0,17.0,1.0,7.2
UAE,664,53,6,1,61,597,2,67.0,0.6,0.9
New_Zealand,647,58,1,0,74,572,2,134.0,0.2,0.15
Morocco,602,46,36,3,24,542,1,16.0,1.0,5.98
Bahrain,567,52,4,0,295,268,2,333.0,2.0,0.71
Ukraine,549,1,13,0,8,528,0,13.0,0.3,2.37
Lithuania,537,46,8,1,7,522,27,197.0,3.0,1.49
Armenia,532,50,3,0,30,499,30,180.0,1.0,0.56
Hungary,492,45,16,1,37,439,6,51.0,2.0,3.25
Lebanon,463,17,12,1,37,414,7,68.0,2.0,2.59
Bosnia_and_Herzegovina,418,50,12,2,17,389,1,127.0,4.0,2.87
Bulgaria,399,40,8,0,17,374,14,57.0,1.0,2.01
Latvia,398,22,0,0,1,397,3,211.0,0.0,0.0
Andorra,370,0,8,0,10,352,10,4789.0,104.0,2.16
Slovakia,363,27,0,0,3,360,1,66.0,0.0,0.0
Tunisia,362,0,10,1,3,349,10,31.0,0.8,2.76
Moldova,353,55,4,2,18,331,44,88.0,1.0,1.13
Kazakhstan,340,38,2,1,22,316,6,18.0,0.1,0.59
Costa_Rica,330,0,2,0,4,324,7,65.0,0.4,0.61
North_Macedonia,329,44,9,2,12,308,4,158.0,4.0,2.74
Taiwan,322,16,5,0,39,278,0,14.0,0.2,1.55
Uruguay,320,0,1,0,25,294,9,92.0,0.3,0.31
Azerbaijan,298,25,5,1,26,267,11,29.0,0.5,1.68
Kuwait,289,23,0,0,73,216,13,68.0,0.0,0.0
Jordan,274,6,5,0,30,239,5,27.0,0.5,1.82
Cyprus,262,32,8,1,23,231,3,217.0,7.0,3.05
Burkina_Faso,261,15,14,2,32,215,0,12.0,0.7,5.36
Réunion,247,23,0,0,1,246,4,276.0,0.0,0.0
Albania,243,20,15,4,52,176,8,84.0,5.0,6.17
San_Marino,230,0,25,0,13,192,16,6778.0,737.0,10.87
Vietnam,207,3,0,0,58,149,3,2.0,0.0,0.0
Cameroon,193,54,6,0,5,182,0,7.0,0.2,3.11
Oman,192,13,0,0,34,158,3,38.0,0.0,0.0
Cuba,186,16,6,2,8,172,3,16.0,0.5,3.23
Senegal,175,13,0,0,40,135,0,10.0,0.0,0.0
Afghanistan,174,4,4,0,5,165,0,4.0,0.1,2.3
Uzbekistan,172,23,2,0,7,163,8,5.0,0.06,1.16
Faeroe_Islands,169,1,0,0,74,95,3,3459.0,0.0,0.0
Malta,169,13,0,0,2,167,2,383.0,0.0,0.0
